netflix_id,title,image,rating,url,content_type,show_type,season_number,year,tv_rating,description,genre,cast,director,duration,language,Awards,updated_db,item_category
80220134,Backtrace (2018),,3.8/10,https://www.netflix.com/title/80220134,,,,,,An amnesic patient is broken out of a psych ward and given an experimental memory drug in the hopes of recovering a missing bag full of cash.,"Action, Drama, Thriller","Ryan Guzman, Sylvester Stallone, Meadow Williams",Brian A. Miller,"92 min / 1h 32m
",English,,"Jan 25, 2023",What’s New on Netflix
80220426,Black Crab (2022),,5.6/10,https://www.netflix.com/title/80220426,Netflix Original,,,,,"To end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo.","Action, Adventure, Drama","Noomi Rapace, Aliette Opheim, Dar Salim",Adam Berg,"110 min / 1h 50m
",Swedish,,"Jan 25, 2023",What’s New on Netflix
80220458,Pedal to Metal (Season 1),,,https://www.netflix.com/title/80220458,Netflix Original,,,,,"After a race they drive in ends fatally, friends Kike and Noche flee to Mexico City to hide, rebuild their lives and escape danger ... or at least try.",Drama,"Benny Emmanuel, Renata Vaca, Andrés Delgado, Sylvia Pasquel, Gerardo Taracena, Silverio Palacios
",,,Spanish,,"Jan 25, 2023",What’s New on Netflix
80220644,Secrets of Summer (Season 2),,"6.1/10
",https://www.netflix.com/title/80220644,Netflix Original,,,,,"A remote Argentine resort revives its wakeboarding competition, drawing in Mexican athlete Steffi, who is determined to uncover a family secret.","Drama, Family","Pilar Pascual, Abril di Yorio, Víctor Varona",Mauro Scandolari,"35 mins
",Spanish,,"Jan 25, 2023",What’s New on Netflix
80220679,Fate: The Winx Saga (Season 2),,"6.9/10
",https://www.netflix.com/title/80220679,Netflix Original,,,,,"Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school.","Action, Adventure, Drama","Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum, Danny Griffin",,"54 mins
",English,1 win,"Jan 25, 2023",What’s New on Netflix
80221113,FIFA Uncovered (Limited Series),,,https://www.netflix.com/title/80221113,Netflix Original Documentary,,,,,"From power struggles to global politics, an exploration of FIFA reveals the organization's checkered history -- and what it takes to host a World Cup.","Documentary, Crime, Sport",,,"57 mins
",English,,"Jan 25, 2023",What’s New on Netflix
80221210,Brotherhood (Season 2),,"7.5/10
",https://www.netflix.com/title/80221210,Netflix Original,,,,,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction.","Crime, Drama, Thriller","Naruna Costa, Seu Jorge, Hermila Guedes, Lee Taylor, Danilo Grangheia, Emílio de Mello",,"50 min
",Portuguese,1 win & 2 nominations,"Jan 25, 2023",What’s New on Netflix
80221223,"Good Morning, Veronica (Season 2)",,"7.5/10
",https://www.netflix.com/title/80221223,Netflix Original,,,,,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret -- and a web of conspiracy hiding it.","Crime, Drama, Mystery","Tainá Müller, Camila Morgado, Eduardo Moscovis",,"49 min
",Portuguese,10 wins & 2 nominations,"Jan 25, 2023",What’s New on Netflix
80222822,13: The Musical (2022),,"4.7/10
",https://www.netflix.com/title/80222822,Netflix Original,,,,,"After moving from New York to Indiana in the wake of his parents' divorce, a clever middle schooler is determined to throw the best bar mitzvah ever.","Comedy, Drama, Family","Josh Peck, Rhea Perlman, Peter Hermann",Tamra Davis,"91 min / 1h 31m
",English,,"Jan 25, 2023",What’s New on Netflix
80223080,The 15:17 to Paris (2018),,5.3/10,https://www.netflix.com/title/80223080,,,,,,Three American buddies on vacation in Europe leap into action when a terrorist attacks passengers on a Paris-bound train. Based on true events.,"Biography, Drama, Thriller","Alek Skarlatos, Anthony Sadler, Spencer Stone",Clint Eastwood,"94 min / 1h 34m
",English,1 win & 3 nominations,"Jan 25, 2023",What’s New on Netflix
80223108,Selling Sunset (Season 5),,"6.5/10
",https://www.netflix.com/title/80223108,Netflix Original,,,,,"The elite agents at The Oppenheim Group sell the luxe life to affluent buyers in LA. Relationships are everything, and that often means major drama.",Reality-TV,"Mary Fitzgerald, Chrishell Stause, Heather Rae Young",,"30 min
",English,Nominated for 1 Primetime Emmy. 2 nominations total,"Jan 25, 2023",What’s New on Netflix
80223492,King of Thieves (2018),,5.5/10,https://www.netflix.com/title/80223492,,,,,,A widower reunites his old partners in crime for one last job: an old-school jewel heist that's the biggest in London's history. Based on a true story.,"Biography, Crime, Drama","Michael Caine, Francesca Annis, Olivia Le Andersen",James Marsh,"108 min / 1h 48m
",English,5 nominations,"Jan 25, 2023",What’s New on Netflix
80224054,Christmas Wedding Planner (2017),,4.4/10,https://www.netflix.com/title/80224054,,,,,,A wedding planner's world is turned upside down when a handsome private investigator is hired to disrupt one of her biggest jobs.,Romance,"Jocelyn Hudon, Stephen Huszar, Kelly Rutherford",Justin G. Dyck,"86 min / 1h 26m
",English,,"Jan 25, 2023",What’s New on Netflix
80225845,Critical Thinking (2020),,6.4/10,https://www.netflix.com/title/80225845,Recommended,,,,,An unwavering teacher and his students must overcome the perils in their underserved community as they compete in a national chess tournament.,Drama,"John Leguizamo, Rachel Bay Jones, Michael Kenneth Williams",John Leguizamo,"117 min / 1h 57m
",English,,"Jan 25, 2023",What’s New on Netflix
80225917,Ricky Gervais: SuperNature (2022),,,https://www.netflix.com/title/80225917,Netflix Original,,,,,"Ricky Gervais gives his take on the rules of comedy, spoiling his cats and how super actual nature is in his second Netflix stand-up special.",Stand-up,Ricky Gervais,,"64 mins / 1h 4m
",English,,"Jan 25, 2023",What’s New on Netflix
80225954,Almost Happy (Season 2),,"6.8/10
",https://www.netflix.com/title/80225954,Netflix Original,,,,,"Sebastian is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids.",Comedy,"Sebastián Wainraich, Natalie Pérez, Santiago Korovsky, Peto Menahem, Carla Peterson
",Hernán Guerschuny,,Spanish,1 nomination,"Jan 25, 2023",What’s New on Netflix
80226168,The Lady in Dignity (Season 1),,"7.5/10
",https://www.netflix.com/title/80226168,,,,,,The wife of a corporate heir finds her luxurious life overturned by a mysterious woman who joins the household as a caregiver for her father-in-law.,"Drama, Mystery, Romance","Kim Hee-seon, Kim Seon-a, Sang-Hoon Jung",,"60 min / 1h 0m
",Korean,5 wins & 6 nominations,"Jan 25, 2023",What’s New on Netflix
80228012,The Soccer Football Movie (2022),,,https://www.netflix.com/title/80228012,Netflix Original,,,,,Four young soccer superfans team up to help their idols regain their abilities after a scheming evil scientist steals their talent.,"Animation, Comedy, Family","Zlatan Ibrahimovi?, Megan Rapinoe, Weird Al Yankovic",Mitch Schauer,"73 mins / 1h 13m
",English,,"Jan 25, 2023",What’s New on Netflix
80229847,How to Change Your Mind (Limited Series),,"8.5/10
",https://www.netflix.com/title/80229847,Netflix Original Documentary,,,,,"Author Michael Pollan leads the way in this docuseries exploring the history and uses of psychedelics, including LSD, psilocybin, MDMA and mescaline.",Documentary,,,"56 mins
",English,,"Jan 25, 2023",What’s New on Netflix
80230601,Down to Earth with Zac Efron (Season 2 - Down Under),,"8.0/10
",https://www.netflix.com/title/80230601,Netflix Original Documentary,,,,,"Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live.","Documentary, History, Reality-TV","Zac Efron, Darin Olien, Anna Kendrick",,"42 mins
",English,1 win & 1 nomination,"Jan 25, 2023",What’s New on Netflix
80231373,Ultraman (Season 2),,"6.8/10
",https://www.netflix.com/title/80231373,Netflix Original Anime,,,,,"Decades ago, a hero from the stars left this world in peace. Now, the son of Ultraman must rise to protect the Earth from a new alien threat.","Animation, Action, Adventure","Ryohei Kimura, Takuya Eguchi, Megumi Han, Hideyuki Tanaka, Sumire Morohoshi, Ken Uo",,"25 min
",Japanese,1 nomination,"Jan 25, 2023",What’s New on Netflix
80231412,Won't You Be My Neighbor? (2018),,8.3/10,https://www.netflix.com/title/80231412,Recommended,,,,,"When Fred Rogers found his calling in television, his unassuming children's show was beloved by generations for his kindness, empathy and understanding.","Documentary, Biography","Fred Rogers, Joanne Rogers, John Rogers",Morgan Neville,"95 min / 1h 35m
",English,54 wins & 34 nominations,"Jan 25, 2023",What’s New on Netflix
80231433,Wendell & Wild (2022),,6.8/10,https://www.netflix.com/title/80231433,Recommended,,,,,Two scheming demons strike a deal with a punk rock-loving teen so they can leave the Underworld and live out their dreams in the Land of the Living.,"Animation, Adventure, Comedy","Lyric Ross, Keegan-Michael Key, Jordan Peele",Henry Selick,"105 min / 1h 45m
",English,,"Jan 25, 2023",What’s New on Netflix
80232398,Bridgerton (Season 2),,"7.3/10
",https://www.netflix.com/title/80232398,Recommended,,,,,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.,"Drama, Romance","Phoebe Dynevor, Regé-Jean Page, Nicola Coughlan",,"60 min / 1h 0m
",English,Won 1 Primetime Emmy. 9 wins & 50 nominations total,"Jan 25, 2023",What’s New on Netflix
80234451,Family Reunion (Part 5),,"6.5/10
",https://www.netflix.com/title/80234451,Netflix Original,,,,,"When the McKellan family moves from Seattle to small-town Georgia, life down South -- and traditional grandparents -- challenge their big-city ways.","Comedy, Family","Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson",,"34 mins
",English,Nominated for 1 Primetime Emmy. 4 wins & 9 nominations total,"Jan 25, 2023",What’s New on Netflix
80234642,Daniel Spellbound (Season 1),,,https://www.netflix.com/title/80234642,Netflix Original,,,,,"In New York City, a teenage tracker makes his living selling hard-to-find mystical items to sorcerers -- but dealing in magic can be risky business.","Animation, Action, Adventure","Catherine Disher, Rainbow Sun Francks, Chantel Riley",,"26 mins
",English,,"Jan 25, 2023",What’s New on Netflix
80236253,From Me to You: Kimi ni Todoke (Seasons 1-2),,,https://www.netflix.com/title/80236253,,,,,,"Nicknamed ""Sadako"" for her spooky appearance, high schooler Sawako begins to break out of her shell when she befriends popular boy Kazehaya.","Comedy, Drama, Romance","Mamiko Noto, Daisuke Namikawa, Miyuki Sawashiro, Yuko Sanpei, Yuichi Nakamura, Aya Hirano",,"23 mins
",Japanese,,"Jan 25, 2023",What’s New on Netflix
80238565,Derry Girls (Season 3),,"8.5/10
",https://www.netflix.com/title/80238565,Recommended,,,,,"Amidst the political conflict of Northern Ireland in the 1990s, five spirited students contend with the universal challenges of being a teenager.",Comedy,"Saoirse-Monica Jackson, Louisa Harland, Tara Lynne O'Neill",,"30 min
",English,Nominated for 2 BAFTA 8 wins & 13 nominations total,"Jan 25, 2023",What’s New on Netflix
80238651,The Happytime Murders (2018),,5.4/10,https://www.netflix.com/title/80238651,,,,,,"In an LA where puppets and humans coexist, a down-on-his-luck detective teams with his ex-partner to nab a killer targeting the cast of an old TV show.","Action, Comedy, Crime","Melissa McCarthy, Elizabeth Banks, Maya Rudolph",Brian Henson,"91 min / 1h 31m
",English,2 wins & 10 nominations,"Jan 25, 2023",What’s New on Netflix
80239100,Into the Deep: The Submarine Murder Case (2020),,6.1/10,https://www.netflix.com/title/80239100,,,,,,"When journalist Kim Wall disappears after boarding inventor Peter Madsen's submarine, his changing story about her fate masks a terrifying truth.",Documentary,Alex Wiseman,Emma Sullivan,"90 min / 1h 30m
",English,1 nomination,"Jan 25, 2023",What’s New on Netflix
80240027,Virgin River (Season 4),,"7.4/10
",https://www.netflix.com/title/80240027,Recommended,,,,,"Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what -- and who -- she finds.","Drama, Romance","Martin Henderson, Tim Matheson, Alexandra Breckenridge",,"44 min
",English,4 wins & 3 nominations,"Jan 25, 2023",What’s New on Netflix
80240244,Colette (2018),,6.7/10,https://www.netflix.com/title/80240244,Recommended,,,,,"Transported to glittering Paris, a woman ghostwrites for her husband and, empowered by success, fights for her identity as a writer and freethinker.","Biography, Drama, History","Keira Knightley, Fiona Shaw, Dominic West",Wash Westmoreland,"111 mins / 1h 51m
",English,1 win & 11 nominations,"Jan 25, 2023",What’s New on Netflix
80240589,Sorry to Bother You (2018),,6.9/10,https://www.netflix.com/title/80240589,Recommended,,,,,"After heeding a co-worker's advice, a telemarketer easily climbs up the corporate ladder -- until success lands him in corporate and moral chaos.","Comedy, Drama, Fantasy","LaKeith Stanfield, Tessa Thompson, Jermaine Fowler",Boots Riley,"112 min / 1h 52m
",English,19 wins & 57 nominations,"Jan 25, 2023",What’s New on Netflix
80240904,Fistful of Vengeance (2022),,"5.0/10
",https://www.netflix.com/title/80240904,Recommended,,,,,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,"Action, Crime, Drama","Lewis Tan, Iko Uwais, JuJu Chan Szeto",Roel Reiné,"94 min / 1h 34m
",English,,"Jan 25, 2023",What’s New on Netflix
80240964,Leave No Trace (2018),,7.1/10,https://www.netflix.com/title/80240964,,,,,,A father and daughter living in content isolation find their lives -- and bond -- shaken when authorities move them back into society.,"Adventure, Drama","Thomasin McKenzie, Ben Foster, Jeffery Rifflard",Debra Granik,"109 min / 1h 49m
",English,18 wins & 94 nominations,"Jan 25, 2023",What’s New on Netflix
80241027,Too Hot to Handle (Season 4),,"4.7/10
",https://www.netflix.com/title/80241027,Netflix Original,,,,,"On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win an enticing grand prize, they'll have to give up sex.","Game-Show, Reality-TV, Romance","Desiree Burch, Carly Lawrence, Melinda Melrose",,"42 mins
",English,,"Jan 25, 2023",What’s New on Netflix
80241181,New Amsterdam (Seasons 1-2),,"8.0/10
",https://www.netflix.com/title/80241181,Recommended,,,,,"America's oldest hospital welcomes a new maverick director in Dr. Max Goodwin, who steps in to change the status quo and save patients' lives.",Drama,"Ryan Eggold, Janet Montgomery, Jocko Sims",,"43 min
",English,5 wins & 4 nominations,"Jan 25, 2023",What’s New on Netflix
80241239,Locke & Key (Season 3),,"7.4/10
",https://www.netflix.com/title/80241239,Netflix Original,,,,,"After their dad's murder, three siblings move with their mom to his ancestral estate, where they discover magical keys that unlock powers -- and secrets.","Drama, Fantasy, Horror","Darby Stanchfield, Connor Jessup, Emilia Jones",,"48 min
",English,2 wins & 10 nominations,"Jan 25, 2023",What’s New on Netflix
80241304,We the Animals (2018),,6.9/10,https://www.netflix.com/title/80241304,Recommended,,,,,"A trio of brothers cope with their parents' volatile relationship by running wild and unchecked, and one of them experiences a visceral awakening.",Drama,"Evan Rosado, Raúl Castillo, Sheila Vand",Jeremiah Zagar,"94 min / 1h 34m
",English,12 wins & 32 nominations,"Jan 25, 2023",What’s New on Netflix
80241472,The Girl in the Mirror (Season 1),,"7.6/10
",https://www.netflix.com/title/80241472,Recommended,,,,,"After losing her memory in a bizarre accident that kills most of her classmates, Alma tries to unravel what happened that day -- and regain her identity.","Drama, Horror, Mystery","Mireia Oriol, Álex Villazán, Pol Monen, Javier Morgade, Nil Cardoner, María Caballero",,"44 mins
",Spanish,,"Jan 25, 2023",What’s New on Netflix
80242184,Sharkdog (Season 2),,"6.1/10
",https://www.netflix.com/title/80242184,Netflix Original,,,,,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.","Animation, Short, Adventure","Liam Mitchell, Dee Bradley Baker, Kari Wahlgren",,"7 min
",English,,"Jan 25, 2023",What’s New on Netflix
80242342,Hustle (2022),,"7.4/10
",https://www.netflix.com/title/80242342,Recommended,,,,,"When a down-on-his-luck basketball scout finds a potential superstar in Spain, he sets out to prove they both have what it takes to make it in the NBA.","Comedy, Drama, Sport","Adam Sandler, Juancho Hernangómez, Queen Latifah, Ben Foster, Kenny Smith, Robert Duvall",Jeremiah Zagar,"118 mins / 1h 58m
",English,,"Jan 25, 2023",What’s New on Netflix
80242517,Teenage Mutant Ninja Turtles (Season 1),,"4.8/10
",https://www.netflix.com/title/80242517,,,,,,"In the sewers of New York City, four turtle brothers -- Raph, Leo, Mikey and Donnie -- use their mystic fighting powers to bust the bad guys.","Animation, Action, Adventure","Ben Schwartz, Brandon Mychal Smith, Omar Benson Miller",,"22 min
",English,10 nominations,"Jan 25, 2023",What’s New on Netflix
80242531,The Cuphead Show! (Season 3),,"7.4/10
",https://www.netflix.com/title/80242531,Recommended,,,,,Follow the misadventures of the impulsive Cuphead and his easily swayed brother Mugman in this animated series based on the hit video game.,"Animation, Short, Action","Tru Valentino, Frank Todaro, Joe Hanna",,"15 mins
",English,1 nomination,"Jan 25, 2023",What’s New on Netflix
80242724,Warrior Nun (Season 2),,"6.9/10
",https://www.netflix.com/title/80242724,Netflix Original,,,,,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns.","Action, Drama, Fantasy","Alba Baptista, Toya Turner, Kristina Tonteri-Young",,"51 mins
",English,5 wins & 6 nominations,"Jan 25, 2023",What’s New on Netflix
80242820,The Chalk Line (2022),,"6.3/10
",https://www.netflix.com/title/80242820,,,,,,"After a couple finds a traumatized child of unknown origins, wife Paula must decipher the girl's strange behaviors to unlock her identity and dark past.","Horror, Mystery, Thriller","Elena Anaya, Pablo Molinero, Eva Tennear",Ignacio Tatay,"106 min / 1h 46m
",Spanish,,"Jan 25, 2023",What’s New on Netflix
80244470,Mile 22 (2018),,6.1/10,https://www.netflix.com/title/80244470,,,,,,"An officer in a top-secret CIA unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail.","Action, Thriller","Mark Wahlberg, Lauren Cohan, Iko Uwais",Peter Berg,"94 min / 1h 34m
",English,1 win,"Jan 25, 2023",What’s New on Netflix
80244565,Indian Matchmaking (Season 2),,"6.2/10
",https://www.netflix.com/title/80244565,Netflix Original,,,,,"Matchmaker Sima Taparia guides clients in the US and India in the arranged marriage process, offering an inside look at the custom in a modern era.","Documentary, Reality-TV, Romance","Sima Taparia, Aparna Shewakramani, Vyasar M. Ganesan
",,,Hindi,Nominated for 1 Primetime Emmy. 2 nominations total,"Jan 25, 2023",What’s New on Netflix
80244627,Two Sentence Horror Stories (Season 3),,"5.5/10
",https://www.netflix.com/title/80244627,,,,,,"Inspired by online fan fiction, this horror anthology series follows fearful victims who find themselves caught in dark and twisted circumstances.","Drama, Horror, Mystery","Lauri Hendler, Wei-Yi Lin, Mardy Ma",,"20 min
",English,4 wins & 5 nominations,"Jan 25, 2023",What’s New on Netflix
806456,A Nightmare on Elm Street (1984),,7.5/10,https://www.netflix.com/title/806456,,,,,,Wielding bladed gloves -- and a sharp tongue to match -- the spirit of a serial killer torments teens while they sleep in a gruesome plot for revenge.,Horror,"Heather Langenkamp, Johnny Depp, Robert Englund",Wes Craven,"91 min / 1h 31m
",English,5 wins & 6 nominations,"Jan 25, 2023",What’s New on Netflix
80990665,The Hall: Honoring the Greats of Stand-Up (2022),,,https://www.netflix.com/title/80990665,Netflix Original,,,,,"In this comedy special, Jon Stewart, John Mulaney, Chelsea Handler and Dave Chappelle honor George Carlin, Joan Rivers, Robin Williams and Richard Pryor.","Stand-up, Comedy","Pete Davidson, Dave Chappelle, Chelsea Handler, John Mulaney, Jeff Ross, Jon Stewart",Marty Callner,"70 mins / 1h 10m
",English,,"Jan 25, 2023",What’s New on Netflix
80990771,Rise of Empires: Ottoman (Season 2),,"7.9/10
",https://www.netflix.com/title/80990771,Netflix Original Documentary,,,,,Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.,"Documentary, Drama, History","Cem Yigit Uzümoglu, Tommaso Basili, Selim Bayraktar",,"44 min
",Turkish,10 nominations,"Jan 25, 2023",What’s New on Netflix
80992058,Kaleidoscope (Limited Series - Watch in any order!),,"7.6/10
",https://www.netflix.com/title/80992058,Recommended,,,,,"A master thief and his crew attempt an epic and elaborate heist worth $7 billion dollars -- but betrayal, greed and other threats undermine their plans.","Action, Crime, Drama","Giancarlo Esposito, Rufus Sewell, Paz Vega, Rosaline Elbay, Jai Courtney, Tati Gabrielle",,"50 mins
",English,,"Jan 25, 2023",What’s New on Netflix
80992607,Luckiest Girl Alive (2022),,"7.6/10
",https://www.netflix.com/title/80992607,Netflix Original,,,,,A writer's perfectly crafted New York City life starts to unravel when a true-crime documentary forces her to confront her harrowing high school history.,"Drama, Mystery, Thriller","Mila Kunis, Justine Lupe, Jennifer Beals",Mike Barker,"115 min / 1h 55m
",English,,"Jan 25, 2023",What’s New on Netflix
